"Date","M001","M002","M003","M004","M005","M006","M007","M008","M009","M010","M011","M012"
2015-01-03,0.1,0,0,0.1,0.5,0.1,0.1,0.4,0,0,0,0
2015-01-04,0.2,0,0,1.1,2,0.4,0.8,1.4,0.2,0.2,0,0
2015-01-05,0,0,0,0.6,0.6,0,0.2,0.2,0,0.4,NA,0
2015-01-06,0,0,0,0,0,0,0,0,0,0,NA,0
2015-01-07,0,0,0,0.1,0,0,0,0,0,0,0,0.1
2015-01-08,0.3,0,0.2,0,0.4,0,0,0.4,0,0,0,0
2015-01-09,2.1,1.4,1,NA,6.5,0.5,7.3,1.9,NA,1.9,0.9,1.3
2015-01-10,0.7,0.6,1.2,2.1,4.1,0.3,2.3,1.1,0.3,0.8,0.4,0.6
2015-01-11,0,0,0,2.3,1.8,0,0.5,0.5,0,0,0,0
2015-01-12,0.4,0.4,0,0.3,0.1,0,0.1,0,0,0,0,0
2015-01-13,0,0.1,0.4,0.2,0.9,1.2,0.2,3.2,0,0.8,0,0
2015-01-14,0,0,0,0.2,0.1,0,0.1,0,0,0,0,0
2015-01-15,0,0,0,0,0.1,0,0.1,0,0,0,0,0
2015-01-16,0,4.4000001,0,0.5,0,0,0,0,2.1,4.9,0,1.3
2015-01-17,36.7,0.3,25.2999991,0.1,2.1,10.8,9.1000002,6,1.1,0.9,16.899999,7.4
2015-01-18,2.9,2.2,0.6,NA,1.9,4.1,4.3,8.7,0.9,4.6,1.4,1.2
2015-01-19,7.8,10.5,22.8999981,5.7,4.5,4.6000001,2.8,10,19.5000002,17.8,7.9000001,18.8
2015-01-20,4.5,3.2,5.9000001,22.1,9.1,8.7000001,12.6000001,12.9,4.9000001,6.6,3.8,1
2015-01-21,5,4.1000001,17.0000001,22.3,19.9,22.7000003,18.1000001,17.6,6.5,9.2,8.4000003,9.1
2015-01-22,1.9,2.1,1.3,2.2,6,6,3.3,0.7,1.9,1.4,1.2,0.8
2015-01-23,21.5,0.7,1.2,17.1,15.7,3,10.2,15.7,1,0.2,29.5999991,0.8
2015-01-24,12.8,7.7000001,22.5999991,2.2,2.7,10.5000001,2.4,2.8,8.3,1.6,7.7,17.1
2015-01-25,0.1,0.2,0,0,3.1,0,1.1,1,0,0,0,0
2015-01-26,8.4,0,2.4,6.9,1.8,3.8000001,0.9,6.3,0,0,9.1,0.3
2015-01-27,25.3,8.3000002,20.799998,1.8,3.6,5.3,5.2,3.8,5.5000001,5.5,21.299999,21.5
2015-01-28,0.6,0.8,1.5,2.5,1.6,1.9,0.5,0.8,0.3,0.5,1.6,2.6
2015-01-29,0,0,0,0,1.5,0.1,1.5,0,0,0,0,0
2015-01-30,0.4,0,0,3.7,2.3,0.2,3.8,0.7,0.1,0.6,0,0.1
2015-01-31,0.5,0.1,0.3,3.7,8.3,0.8,2.2,1.6,0.3,0.8,0,0.1
2015-02-01,0.4,2,0.7,5.1,4.2,0.4,0.8,1.1,0.6,1.1,0.6,0.9
2015-02-02,0,0,0,0,2.5,1.4000001,0.5,0.2,0,0.1,0.2,0
2015-02-03,0,0,0,0.5,3,0,0.9,0.4,0,0.2,0,0
2015-02-04,0.9,0.4,1.5,2.5,5.3,3.7,0.3,4.5,0.3,0.3,0.2,0.9
2015-02-05,0,0,0,0.2,1,0,0.2,0.2,0,0,0,0
2015-02-06,0,0.6,0,0,1.5,0,1.3,0,0,0,0,0.3
2015-02-07,0,0,0.2,0,7.4,0,5.5,0,0,0,0,0
2015-02-08,0,0,0.1,2,0.9,2.9,NA,2.1,0.1,1.2,0.2,0
2015-02-09,0.4,0,0,0.7,NA,0.1,10.7000002,0.5,0,0.3,0,0
2015-02-10,0,0,0,0.1,0,0,0.2,0,0,0,0,0
2015-02-11,0,0,0,0.2,0,0,0,0,0,0.1,0,0
2015-02-12,0.2,0,0,1.9,1,0.1,0.4,0.8,0,0,0,0.2
2015-02-13,0,0,0,1,3.3,0.2,1,0.2,0.2,0.1,0,0
2015-02-14,0,0,0,0.2,3.7,0,1.4,0,0.1,0,0,0
2015-02-15,0,0.1,0,0.9,8.2,0,13.3000002,0.1,0,0.2,0,0.1
2015-02-16,0,0,0,0,0,0,0.1,0,0,0,0,0
2015-02-17,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-18,0,0,0,0.3,2.6,0,6.4,0,0,0,0,0
2015-02-19,0,2.3,0,5.4,0,0,0.2,0,0,0,0,0.1
2015-02-20,0,0,0,0.1,0,0,0,0,0,0,0,0
2015-02-21,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-22,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-23,0,0,0,0.2,0,0,0,0,0.2,0,NA,0
2015-02-24,15,0.7,2.6000001,28,9.2,8.5,3,29.8,2.3000001,26.7,13.6,3.9
2015-02-25,0,0,0,0,2.4,0.1,1,0.1,0,0,0,0
2015-02-26,0,0,0,0,0,0,0,0.2,0,0,0,0
2015-02-27,0,0.3,0,0.7,0,0,0,0,0.1,0.2,0,0
2015-02-28,0,0,0,0,0.3,0,0,0,0,0,0,0
2015-03-01,0,0,0,0.6,6.5,0,9.9,1.1,0.5,0.2,0,0
2015-03-02,5.5,1.7,NA,17.1,NA,3.5,20.0000002,1.6,11.8,14.4,17.5999991,13.8
2015-03-03,13.7,1,24.9999971,0.5,1.7,2.3,5.7,28.5,1.2,3.2,3.8000001,1.6
